id,module,use_case,prompt_title,prompt_text,expected_output_format,difficulty,customization_notes
P057,M6_Video_Scripts,content,Talking Head Script Template,"Write a talking head video script for a 90-second YouTube video titled: 3 Things I Wish I Knew Before Learning to Code. Structure: Direct-to-camera intro with personal hook (10 sec), Thing 1 with a short anecdote (25 sec), Thing 2 with a practical tip (25 sec), Thing 3 with an unexpected insight (20 sec), Summary and encouragement (10 sec). Write the exact words to say in a natural, conversational tone. Mark where to add [JUMP CUT], [B-ROLL INSERT], and [TEXT POP-UP]. No formal or scripted-sounding language.",talking head script,easy,"Change the topic and number of points. Keep the conversational tone markers."
P058,M6_Video_Scripts,video,Social Media Short Script,"Write a 15-second TikTok/Reel script using the trending 'POV' format. Topic: POV â€” You finally understand recursion. Structure: Setup text on screen (2 sec), Reaction/skit (8 sec â€” describe the acting, facial expressions, and movements), Punchline or twist (3 sec), End tag or hashtag text (2 sec). Write the exact on-screen text, describe all physical actions and expressions, and suggest a trending audio style. Keep it humorous and relatable for CS students.",short-form script,easy,"Change the POV topic. Adjust the format: POV, storytime, get ready with me, expectation vs reality."
P059,M6_Video_Scripts,content,Interview Questions for Video,"Generate a complete interview question set for a 5-minute YouTube video interviewing a senior software developer about career advice. Provide: 5 main questions (each with a follow-up probe question), Warm-up question (to ease the guest in), Rapid-fire round (5 quick either/or questions), Closing question (memorable, shareable answer). For each main question, explain: what insight it aims to extract (1 sentence), ideal answer length (in seconds), and [SHOT TYPE] recommendation.",interview question set,medium,"Change the guest persona and topic. Adjust the number of questions and video length."
P060,M6_Video_Scripts,video,Video Intro and Outro Template,"Write a reusable video intro and outro template for a tech education YouTube channel called CodeCampus. Intro template (15 sec): Channel branding line, episode topic teaser using [TOPIC] placeholder, why the viewer should stay using [HOOK_REASON] placeholder, subscribe reminder. Outro template (15 sec): Recap of what was covered using [KEY_TAKEAWAY] placeholder, related video suggestion using [NEXT_VIDEO] placeholder, subscribe and bell reminder, sign-off catchphrase. Write exact scripts for both. Then fill in the templates for an example episode about Git branching.",template + example,easy,"Replace the channel name and style. Fill in templates for each new video you make."
P061,M7_Coding_With_AI,coding,Function Spec from Description,"I want to write a Python function but I need a clear specification first. Turn this vague idea into a precise function spec. Idea: Something that cleans up messy user input text. Provide: 1. Function name (descriptive, snake_case). 2. Docstring (what it does in 2 sentences). 3. Parameters (name, type, description for each â€” at least 2 parameters). 4. Return type and description. 5. Edge cases to handle (list at least 5). 6. Example usage with expected input/output (at least 3 examples). Do not write the function itself â€” only the spec.",function specification,easy,"Replace the vague idea with your own. Use this spec to then generate the actual code in a follow-up prompt."
P062,M7_Coding_With_AI,coding,Bug Report Prompt Template,"I have a bug in my code. Help me fix it using this structured format. Bug Description: My function is supposed to return the nth Fibonacci number, but it returns the wrong value for n=0 and n=1. Language: Python 3.11. Code: [PASTE YOUR CODE HERE]. Expected Behavior: fib(0) should return 0 and fib(1) should return 1. Actual Behavior: fib(0) returns 1 and fib(1) returns 1. Error Message: No error â€” just wrong output. What I Already Tried: I checked the base case but it looks correct to me. Steps to fix: 1. Reproduce the bug mentally by tracing through the code. 2. Identify the root cause. 3. Show before and after code. 4. Explain how to prevent this type of bug in the future.",bug fix + explanation,easy,"Replace with your actual bug details. Fill in every section for the most accurate fix."
P063,M7_Coding_With_AI,coding,Refactoring Request with Rules,"Refactor the following Python code to improve readability and maintainability. Refactoring rules: 1. Extract any function longer than 15 lines into smaller functions. 2. Replace magic numbers with named constants. 3. Add type hints to all function signatures. 4. Rename vague variable names (like x, temp, data) to descriptive names. 5. Remove dead code and unused imports. 6. Do not change the external behavior â€” all inputs and outputs must remain the same. Show the refactored code, then list every change you made in a numbered changelog. Code: [PASTE YOUR CODE HERE]",refactored code + changelog,medium,"Paste your own code. Add or remove refactoring rules based on your coding standards."
P064,M7_Coding_With_AI,coding,Unit Test Generator,"Generate unit tests for the following Python function using pytest. Requirements: 1. At least 8 test cases covering: normal inputs (3 tests), edge cases (3 tests), and invalid inputs (2 tests). 2. Each test must have a descriptive name starting with test_. 3. Use pytest.raises for exception testing. 4. Add a one-line comment above each test explaining what it tests. 5. Group tests in a class named TestFunctionName. Function: def calculate_grade(score: int) -> str that returns A for 90-100, B for 80-89, C for 70-79, D for 60-69, F for below 60, and raises ValueError for negative scores or scores above 100.",test code,medium,"Replace the function with your own. Adjust the number of test cases per category."
P065,M7_Coding_With_AI,coding,API Endpoint Designer,"Design a single REST API endpoint for user registration. Provide all of the following: 1. HTTP Method and URL path. 2. Request headers (list required headers). 3. Request body JSON schema with field validations (email format, password minimum length, required fields). 4. Success response (status code + JSON body). 5. Error responses â€” show at least 4 different error scenarios with status codes and error message JSON. 6. Rate limiting recommendation. 7. A curl command example for testing this endpoint. Format each section with a clear heading.",API endpoint design,medium,"Replace user registration with any endpoint. Adjust validations and error scenarios for your API."
P066,M7_Coding_With_AI,coding,README Generator from Code,"Generate a README.md for my Python project based on the following information. Project: A command-line tool that converts CSV files to JSON format. Include these sections in this exact order: # Project Name (creative name), ## Description (3 sentences), ## Features (bullet list of 5 features), ## Installation (numbered steps using pip), ## Usage (3 example commands with explanations), ## Options/Flags (table with columns: Flag, Description, Default), ## Contributing (3 bullet points), ## License (one line â€” MIT). Output as raw Markdown. No commentary.",README markdown,easy,"Replace the project description. Adjust sections to match your project and contribution guidelines."
P067,M7_Coding_With_AI,coding,Code Explanation Request,"Explain the following code line by line. For each line, provide: Line number, The code (in backticks), What it does (in plain English, one sentence), Why it is needed (one sentence explaining its purpose in the broader function). After explaining all lines, add: Overall Summary (3 sentences), Time Complexity, Space Complexity, Potential Improvements (2 suggestions). Code: [PASTE YOUR CODE HERE]",line-by-line explanation,easy,"Paste any code you are studying or reviewing. Works for any programming language."
P068,M7_Coding_With_AI,coding,Error Message Debugger,"I got this error message and I cannot figure out what it means. Help me understand and fix it. Error: [PASTE YOUR ERROR MESSAGE HERE]. Context: Language and version: Python 3.10. What I was trying to do: [DESCRIBE YOUR GOAL]. The line of code that caused it: [PASTE THE LINE]. Provide: 1. What this error means in plain English (2 sentences). 2. The most common causes of this error (list 3). 3. Which cause applies to my case and why. 4. The fix â€” show corrected code. 5. How to prevent this error in the future (1 tip).",debugging walkthrough,easy,"Paste any error message. Fill in all context fields for the most accurate debugging help."
P069,M7_Coding_With_AI,coding,SQL Query Builder,"Write SQL queries for a student grades database with these tables: students (id, name, department, semester), courses (id, course_name, credits), enrollments (student_id, course_id, grade). Write the following queries: 1. Get all students in the CSE department. 2. Find students who scored an A in any course. 3. Calculate the GPA (average grade points) for each student. 4. Find courses where more than 30 students enrolled. 5. Find students who have not enrolled in any course. For each query: write the SQL, explain the logic in one sentence, and state which type of JOIN or subquery you used and why.",SQL queries + explanations,medium,"Replace the schema with your own tables. Adjust queries to match your database assignment."
P070,M7_Coding_With_AI,coding,Language Conversion Prompt,"Convert the following Python code to JavaScript (ES6+). Rules: 1. Use idiomatic JavaScript â€” do not write Python-style JS. 2. Replace Python-specific constructs with JS equivalents (list comprehensions to map/filter, f-strings to template literals, etc.). 3. Add JSDoc comments for the function. 4. Keep the same function name and logic. 5. After the converted code, show a comparison table: Feature, Python Syntax, JavaScript Syntax â€” for every construct you changed. Python code: [PASTE YOUR PYTHON CODE HERE]",converted code + comparison,medium,"Change the source and target languages. Adjust the conversion rules for the specific language pair."
P071,M8_Extraction_Notes_Research,research,Extract Key Points to Table,"Extract the key information from the following text and organize it into a table. Table columns: Point Number, Key Concept, Explanation (1 sentence), Importance (High/Medium/Low). Rules: 1. Extract at least 7 key points. 2. List them in the order they appear in the text. 3. Do not add information that is not in the text. 4. If a point is implied but not stated explicitly, mark it with [Implied] in the Explanation column. 5. After the table, write a one-sentence overall summary. Text: [PASTE YOUR TEXT HERE]",table + summary,easy,"Paste any article, chapter section, or lecture notes. Adjust column headers for your needs."
P072,M8_Extraction_Notes_Research,research,Messy Text to JSON Converter,"Convert the following unstructured text into clean, structured JSON. Infer the best key names from the content. Rules: 1. Use camelCase for all keys. 2. Use appropriate data types (strings, numbers, booleans, arrays). 3. Nest related information into sub-objects. 4. If information is missing or ambiguous, use null and add a comment key explaining what is unclear (e.g., _commentFieldName). 5. Output only valid JSON. No explanation before or after. Text: Rahul Sharma is 22 years old, studies Computer Science at Delhi University, is in his 4th year, has skills in Python, Java, and React, scored a CGPA of 8.5, and is looking for a backend developer internship.",JSON,easy,"Paste any unstructured text: email, bio, product description, etc. The AI will find the best structure."
P073,M8_Extraction_Notes_Research,study,Three-Level Summary,"Summarize the following text at 3 levels of detail. Level 1 â€” One-Liner (max 20 words): The absolute core idea in one sentence. Level 2 â€” Paragraph (exactly 5 sentences): A complete but concise summary. Level 3 â€” Detailed Notes (8-12 bullet points grouped by subtopic): Comprehensive coverage of all major points, arguments, examples, and conclusions. After all 3 levels, add: Key Terms (list 5 important terms with 1-line definitions from the text), Quick Quiz (generate 3 short-answer questions based on this text). Text: [PASTE YOUR TEXT HERE]",multi-level summary,medium,"Paste any long text. Adjust the detail requirements per level for your revision style."
P074,M8_Extraction_Notes_Research,study,Notes to Flashcards,"Convert the following study notes into revision flashcards. Format for each card: [FRONT]: A clear question. [BACK]: A concise answer (max 2 sentences). Rules: 1. Generate at least 12 flashcards. 2. Mix question types: 5 definition cards (What is X?), 4 comparison cards (How does X differ from Y?), 3 application cards (When would you use X?). 3. Order from basic to advanced. 4. Do not use information not present in the notes. 5. After the flashcards, list 3 topics that are NOT covered in the notes but related and worth studying. Notes: [PASTE YOUR NOTES HERE]",flashcards,easy,"Paste your actual study notes. Adjust the number of cards and question type mix."
P075,M8_Extraction_Notes_Research,research,Side-by-Side Document Comparison,"I will paste two texts on the same topic. Compare them systematically. Structure your analysis as: 1. Summary of Text 1 (3 sentences). 2. Summary of Text 2 (3 sentences). 3. Agreements â€” points both texts agree on (bullet list). 4. Disagreements â€” points where they contradict (table: Point, Text 1 Says, Text 2 Says). 5. Unique to Text 1 â€” information only in the first text (bullet list). 6. Unique to Text 2 â€” information only in the second text (bullet list). 7. Which text is more reliable and why (2 sentences). Text 1: [PASTE TEXT 1]. Text 2: [PASTE TEXT 2].",comparison report,medium,"Paste any two articles, textbook explanations, or AI outputs on the same topic."
P076,M8_Extraction_Notes_Research,research,Timeline Extraction,"Extract all events, dates, and milestones mentioned in the following text and organize them into a chronological timeline. Table columns: Date/Year, Event, Significance (1 sentence), Source Quote (exact text from the passage). Rules: 1. List events in chronological order. 2. If an exact date is not given but a period is mentioned, note it as [Approximate]. 3. If no date can be inferred, place it in a separate section called Undated Events. 4. After the timeline, write a 2-sentence narrative connecting the key events. Text: [PASTE YOUR TEXT HERE]",timeline table,easy,"Paste any historical text, case study, or biography. Great for history and current affairs revision."
P077,M8_Extraction_Notes_Research,study,Vocabulary Extractor,"From the following text, extract all important technical terms and create a study vocabulary list. For each term: Term, Definition (from the text or inferred, 1 sentence), Example Usage (quote from the text where this term appears), Related Terms (list 1-2 other terms from this list that are connected). Rules: 1. Extract at least 10 terms. 2. Order them so foundational terms come first. 3. If a term is used but not defined in the text, mark it [Needs External Definition]. After the vocabulary list, write a concept map in text form showing how the top 5 terms relate to each other. Text: [PASTE YOUR TEXT HERE]",vocabulary list + concept map,medium,"Paste any textbook chapter or lecture transcript. Adjust minimum term count for longer texts."
P078,M8_Extraction_Notes_Research,research,Argument Mapper,"Analyze the following argumentative or opinion text. Map its argument structure: 1. Main Claim (1 sentence â€” what the author is arguing). 2. Supporting Arguments (numbered list â€” each argument on its own line). 3. Evidence Used (for each argument: what evidence is given â€” data, example, analogy, authority). 4. Counter-Arguments Addressed (did the author address opposing views? List them). 5. Counter-Arguments NOT Addressed (what opposing views are missing?). 6. Logical Fallacies (any weak reasoning? Name the fallacy if applicable). 7. Strength Rating: Strong / Moderate / Weak with 1-sentence justification. Text: [PASTE TEXT HERE]",argument analysis,medium,"Paste any editorial, essay, or persuasive text. Great for critical thinking and debate prep."
P079,M8_Extraction_Notes_Research,research,Data Cleaning Prompt,"I have messy raw data pasted below. Clean it and structure it. Steps: 1. Identify the data type (table, list, key-value pairs, etc.). 2. Standardize formatting: consistent capitalization, consistent date format (YYYY-MM-DD), remove extra whitespace, fix obvious typos. 3. Flag any ambiguous or missing values with [CHECK]. 4. Output the cleaned data in a format I specify: [CSV / JSON / TABLE â€” pick one]. 5. After the cleaned data, list all changes you made in a numbered changelog. Raw data: [PASTE YOUR MESSY DATA HERE]. Output format: CSV.",cleaned data + changelog,easy,"Paste any messy data: copied from a PDF, email, or web page. Specify your preferred output format."
P080,M8_Extraction_Notes_Research,study,Study Guide Builder,"Create a complete study guide from the following text. Structure: ## Topic Overview (3 sentences). ## Key Concepts (numbered list of 6-8 concepts with one-line explanations). ## Important Formulas or Rules (if applicable, in a table: Name, Formula, When to Use). ## Common Exam Questions (5 questions a professor would likely ask). ## Quick Revision Cheat Sheet (fit everything on one imaginary page â€” ultra-condensed bullet points, max 15 lines). ## What to Study Next (2 related topics not in this text). Rules: Only use information from the provided text for the first 4 sections. Text: [PASTE YOUR STUDY MATERIAL HERE]",study guide,medium,"Paste any chapter or lecture notes. Adjust sections based on your exam format."
P081,M9_Reasoning_Math_QA_Interviews,math,Step-by-Step Math Solver,"Solve the following math problem showing every single step. Structure your solution as: Step 1 â€” Understand: Restate what is given and what is asked. Step 2 â€” Plan: State the approach or formula you will use and why. Step 3 â€” Solve: Show every calculation on its own line. No skipping steps. Step 4 â€” Verify: Check your answer using a different method or by substituting back. Step 5 â€” State: Write the final answer in a complete sentence with units if applicable. Problem: Find the derivative of f(x) = 3x^4 - 2x^3 + 7x - 5 and evaluate it at x = 2.",step-by-step solution,easy,"Replace with any math problem. Keep the 5-step structure for consistent problem solving."
P082,M9_Reasoning_Math_QA_Interviews,math,Show Work vs Final Only,"I will give you 3 math problems. For each one, provide two versions of the answer: Version A â€” FINAL ONLY: Just the answer, nothing else, in one line. Version B â€” SHOW WORK: Full step-by-step solution with reasoning. Problem 1: What is the integral of 2x dx? Problem 2: Solve for x: 3x + 7 = 22. Problem 3: What is 15% of 240? Label each problem and each version clearly. This helps me practice checking my own work against the final answer first.",dual-format solutions,easy,"Replace with your own problems. Use Version A to test yourself before revealing Version B."
P083,M9_Reasoning_Math_QA_Interviews,math,Practice Question Set,"Generate a set of 8 practice problems on the topic of Probability for my statistics exam. Requirements: 1. Arrange from easy to hard. 2. Label each: [EASY], [EASY], [MEDIUM], [MEDIUM], [MEDIUM], [HARD], [HARD], [HARD]. 3. Cover these subtopics: basic probability (2), conditional probability (2), Bayes theorem (2), permutation/combination with probability (2). 4. For each problem, provide: Problem statement, Answer, Solution in 3-5 steps, Common Mistake students make on this type. 5. After all 8 problems, provide a 3-line cheat sheet of formulas used.",problem set + solutions,medium,"Replace Probability with any topic. Adjust difficulty distribution and subtopic coverage."
P084,M9_Reasoning_Math_QA_Interviews,interview,Mock Interview Simulator,"Act as a strict but fair technical interviewer from a top product company. You are interviewing me for a Junior Software Developer position. Conduct a 5-question interview: Question 1: A warm-up conceptual question (data structures). Question 2: A coding question (arrays or strings). Question 3: A follow-up on my coding answer asking about optimization. Question 4: A system design thinking question (not full system design). Question 5: A behavioral question. For each question: Ask the question clearly. After I would answer, provide: The ideal answer, Scoring rubric (what earns full marks), Red flags in answers that hurt candidates. Present all 5 questions with ideal answers now so I can study them.",mock interview Q&A,medium,"Change the role and company type. Adjust question topics to match your target position."
P085,M9_Reasoning_Math_QA_Interviews,interview,Answer Evaluation Rubric,"I will give you an interview question and my answer. Evaluate my answer like a real interviewer. Use this rubric: 1. Correctness (0-3 points): Is the content factually accurate? 2. Completeness (0-3 points): Did I cover all important aspects? 3. Clarity (0-2 points): Was it well-structured and easy to follow? 4. Depth (0-2 points): Did I go beyond surface-level? Show scores in a table. Total out of 10. Then provide: What was strong (2 bullets), What was missing (2 bullets), Improved version of my answer. Question: [PASTE INTERVIEW QUESTION]. My Answer: [PASTE YOUR ANSWER].",scored evaluation,easy,"Paste any question-answer pair. Works for technical, behavioral, or HR interview answers."
P086,M9_Reasoning_Math_QA_Interviews,math,Logic Chain Builder,"Solve the following logical reasoning problem by building an explicit chain of deductions. Format each step as: [Clue N] + [Deduction] = [Conclusion]. Number every step. Show which clues you combined to reach each conclusion. At the end, state the final answer and verify it against all original clues. Problem: There are 5 houses in a row, each a different color. Each owner has a different pet, drinks a different beverage, and studies a different subject. Clue 1: The red house owner drinks tea. Clue 2: The green house is immediately to the right of the white house. Clue 3: The dog owner studies physics. Clue 4: The yellow house owner drinks coffee. Clue 5: The person in the middle house drinks milk. Determine which house has which color and beverage.",logic chain solution,medium,"Replace with any logic puzzle. Keep the explicit deduction chain format to trace your reasoning."
P087,M9_Reasoning_Math_QA_Interviews,math,Mental Math Shortcut Trainer,"Teach me 5 mental math shortcuts that will help me solve aptitude test questions faster. For each shortcut: 1. Shortcut Name (catchy, memorable). 2. The Rule (one sentence). 3. Example Problem (show the long way vs the shortcut way). 4. When to Use (one sentence). 5. Practice Problem (for me to try, with the answer hidden in a spoiler format: Answer: [answer]). Cover these areas: multiplication tricks, percentage calculations, divisibility checks, squaring numbers, fraction to decimal conversion.",shortcuts + practice,easy,"Replace the areas with: ratio shortcuts, time-speed-distance tricks, algebra shortcuts, etc."
P088,M9_Reasoning_Math_QA_Interviews,math,Aptitude Question Generator,"Generate 10 aptitude questions similar to those asked in campus placement tests (TCS, Infosys, Wipro style). Requirements: Mix of: 3 quantitative (arithmetic, algebra, percentages), 3 logical reasoning (patterns, series, arrangements), 2 verbal reasoning (sentence correction, analogies), 2 data interpretation (read a small table and answer). For each question: Question, 4 multiple-choice options (A/B/C/D), Correct answer, Solution in 2-3 lines, Time target (how many seconds a prepared student should take). Order from fastest to slowest solving time.",aptitude test set,medium,"Adjust the mix of question types for your target company. Change difficulty level as needed."
P089,M9_Reasoning_Math_QA_Interviews,interview,HR Interview Question Prep,"Generate the 10 most commonly asked HR interview questions for fresh engineering graduates. For each question: 1. The question exactly as an HR manager would phrase it. 2. What they are actually evaluating (1 sentence). 3. A strong sample answer using the STAR method (Situation, Task, Action, Result) where applicable, or a structured response for non-behavioral questions. 4. A red flag answer (what NOT to say â€” 1 sentence). 5. Pro tip for delivery (tone, body language, timing â€” 1 sentence). Cover: introduction, strengths, weaknesses, teamwork, conflict, motivation, salary expectations, failure, why this company, 5-year plan.",HR interview guide,easy,"Add or remove questions based on your target company. Adjust sample answers to match your actual experiences."
P090,M9_Reasoning_Math_QA_Interviews,interview,Technical Concept Explainer,"I am preparing for a technical interview. Help me explain the following concept as if the interviewer asked: Can you explain how indexing works in databases? Provide 3 levels of answer: Level 1 â€” 30-second answer (for when the interviewer wants a quick response): 3 sentences max. Level 2 â€” 2-minute deep dive (for when they say 'tell me more'): Cover how it works internally (B-tree), when to use it, when NOT to use it, and the trade-off with write performance. Level 3 â€” Follow-up defense (anticipate 3 follow-up questions the interviewer might ask, and write concise answers for each). Label each level clearly.",tiered interview answer,medium,"Replace the concept. Use this 3-level prep for any technical concept you might be asked about."
P091,M10_Placement_Toolkit,resume,ATS-Friendly Resume Summary,"Rewrite my resume summary to pass ATS (Applicant Tracking System) filters. Current summary: I am a hardworking student who is passionate about technology and looking for opportunities to grow. Rewrite rules: 1. Start with job title and years of experience or degree. 2. Include at least 4 relevant keywords from this job description: [PASTE JOB DESCRIPTION]. 3. Mention 2-3 specific technologies by name. 4. Include one quantified achievement (number or percentage). 5. Keep it to exactly 3 lines. 6. No first person (no 'I'). 7. No buzzwords: passionate, hardworking, team player, self-starter. Give me 2 versions: one for a software developer role and one for a data analyst role.",2 resume summaries,easy,"Paste the actual job description. Replace the current summary with yours for a personalized rewrite."
P092,M10_Placement_Toolkit,resume,LinkedIn Headline Optimizer,"Write 5 different LinkedIn headline options for a final-year Computer Science student looking for software engineering roles. Rules: 1. Each headline must be under 120 characters. 2. Include at least one technical skill keyword in each. 3. Avoid generic phrases like 'Aspiring professional' or 'Looking for opportunities'. 4. Mix formats: one with a pipe separator, one with a dash, one as a mini value proposition, one highlighting a project or achievement, one as a question that invites curiosity. After the 5 options, rank them from strongest to weakest with a one-sentence reason for each ranking.",5 headlines + ranking,easy,"Change the field and target role. Adjust keywords to match your industry."
P093,M10_Placement_Toolkit,interview,STAR Method Answer Writer,"Write a STAR-format answer for this common interview question: Tell me about a time you worked under a tight deadline. Structure: Situation (2-3 sentences â€” set the scene with specific details): When, where, what project, who was involved. Task (1-2 sentences â€” your specific responsibility): What was expected of you specifically. Action (3-4 sentences â€” what YOU did, not the team): Specific steps you took, tools you used, decisions you made. Result (2-3 sentences â€” measurable outcome): What happened, what you learned, what changed. After the STAR answer, add: Common Mistakes for this question (3 bullets), How to customize this template (2 sentences). Use [BRACKETS] for parts I should personalize with my own experience.",STAR answer + tips,easy,"Replace the question. Fill in [BRACKETS] with your real experiences for authentic answers."
P094,M10_Placement_Toolkit,interview,Technical Interview Cheat Sheet,"Create a one-page technical interview cheat sheet for a Python backend developer interview. Cover: 1. Data Structures â€” top 5 with when to use each (1 sentence each). 2. Algorithms â€” top 5 patterns (sliding window, two pointer, etc.) with one-line descriptions. 3. Python Specifics â€” 5 things interviewers love to ask about Python (generators, GIL, decorators, etc.) with 1-sentence answers. 4. System Design Basics â€” 5 key concepts (load balancing, caching, etc.) with 1-sentence definitions. 5. Complexity Cheat Sheet â€” table of common operations and their Big O. Keep everything ultra-concise. This should fit on one printed page.",cheat sheet,medium,"Change the role and language. Adjust sections based on your target company interview format."
P095,M10_Placement_Toolkit,resume,Project Description Power-Up,"Rewrite my project description to impress recruiters. Transform this raw description into a polished portfolio entry. Structure: Project Title: [make it sound professional]. One-Liner: What it does and its impact (under 15 words). Problem: What problem it solves (2 sentences). Solution: What I built and how (3 sentences â€” weave in the tech stack naturally). Key Features: (4 bullet points, each starting with an action verb). My Role: What I specifically contributed (2 sentences). Impact: Measurable results or metrics (2 sentences â€” use numbers). Tech Stack: Listed as tags. My raw description: Built a website for my college fest using HTML CSS and JavaScript. It shows events list and registration form. Worked in a team of 3.",portfolio project entry,easy,"Replace the raw description with your own project. Be honest about your contributions for authentic results."
P096,M10_Placement_Toolkit,resume,Resume Bullet Point Enhancer,"I have 5 weak resume bullet points. Rewrite each one to be impactful using the XYZ formula: Accomplished [X] as measured by [Y] by doing [Z]. Original bullets: 1. Worked on a web development project. 2. Did testing for the team. 3. Helped with database design. 4. Made a machine learning model. 5. Participated in a hackathon. For each: Show the original (weak), then the rewritten version (strong), then explain in one sentence what changed and why it is better. After all 5, give me a checklist of 4 rules for writing strong resume bullets.",before/after + rules,easy,"Replace with your own weak bullet points. Apply the XYZ formula to every bullet on your resume."
P097,M10_Placement_Toolkit,resume,Cover Letter Generator,"Write a cover letter for a software engineering internship at a product-based company. Structure: Opening paragraph (3 sentences â€” why this specific company, mention a recent product or value that impressed you, state the role you are applying for). Middle paragraph (4 sentences â€” your strongest technical project, one relevant skill, one soft skill demonstrated through a specific example). Closing paragraph (2 sentences â€” enthusiastic but professional close, mention availability). Constraints: Under 250 words. No generic praise. No buzzwords. Sound like a real human, not a template. Use [COMPANY_NAME], [ROLE], [PROJECT_NAME], and [SKILL] as placeholders I can fill in.",cover letter,medium,"Fill in the placeholders. Research the company to make the opening paragraph specific and genuine."
P098,M10_Placement_Toolkit,interview,Elevator Pitch Creator,"Create a 30-second elevator pitch for me to use at career fairs and networking events. Structure: Hook (1 sentence â€” something interesting about me or my work that makes people want to listen), Who I am (1 sentence â€” name, year, major), What I do (1 sentence â€” my key skill or project), My value (1 sentence â€” what I can bring to a team or company), The ask (1 sentence â€” what I am looking for). Rules: Conversational tone, not rehearsed-sounding. Under 80 words. No jargon. Must sound natural when spoken out loud. Generate 2 versions: one for a tech company recruiter and one for a startup founder. My details: Final year CSE student, built 3 full-stack projects, strong in Python and React, looking for full-time SDE roles.",2 elevator pitches,easy,"Replace with your own details. Practice saying it out loud â€” if it sounds stiff, ask for a more conversational rewrite."
P099,M10_Placement_Toolkit,interview,Weakness Question Handler,"Help me prepare for the dreaded interview question: What is your greatest weakness? Generate 5 different honest but strategic answers suitable for a fresh engineering graduate. For each answer: 1. The weakness stated honestly (1 sentence). 2. What you are doing to improve (2 sentences â€” must be specific and believable). 3. How it has actually helped you grow (1 sentence â€” the silver lining). Rules: No cliches (perfectionism, working too hard). No fake weaknesses. No weaknesses that are deal-breakers for the role. Each weakness should be genuinely relatable for a fresh graduate. After the 5 options, add a 3-point delivery checklist: how to say it confidently.",5 weakness answers + tips,easy,"Pick the answer closest to your real experience and customize it. Authenticity is more important than the perfect answer."
P100,M10_Placement_Toolkit,resume,Skills Section Optimizer,"Optimize the Skills section of my resume for maximum ATS compatibility and recruiter impact. My current skills list: Python, Java, HTML, CSS, JavaScript, SQL, Git, Machine Learning, React, Node.js, MongoDB, Docker, AWS, Communication, Leadership, Problem Solving, Teamwork. Rewrite this section: 1. Categorize into: Programming Languages, Frameworks and Libraries, Databases, DevOps and Tools, Cloud, Soft Skills. 2. Remove soft skills from the skills section entirely (explain why in one sentence). 3. Order each category from strongest to least strong (ask me to confirm if unsure). 4. Add proficiency levels: Proficient / Familiar / Exposure. 5. Suggest 3 skills I should learn next based on current market demand for SDE roles. Output as a formatted resume-ready skills section.",skills section + advice,easy,"Replace with your own skills list. Adjust categories for your target role (data science, DevOps, frontend, etc.)."
P101,M1_Foundations,coding,"Advanced GCCF for Code Refactoring","Goal: Refactor this Python function to follow the Single Responsibility Principle. Context: I am a second-year CS student learning clean code practices. The function below handles user input validation, database saving, and email notification all in one. Constraints: Keep the same overall behavior. Use type hints. Write docstrings for each new function. Format: Show the refactored code with comments explaining why each function was separated. Code: [PASTE YOUR FUNCTION HERE]",code,medium,"Replace Python with your language. Swap Single Responsibility for any SOLID principle."
P102,M1_Foundations,study,"Multi-Layer Context Setting","Goal: Explain how neural networks learn using backpropagation. Context Layer 1 â€” Who I am: A third-year CSE student who understands basic calculus (derivatives and the chain rule). Context Layer 2 â€” What I already know: I know what forward propagation is and how loss functions work. Context Layer 3 â€” Why I need this: I have a deep learning exam in 3 days and need intuition, not just formulas. Constraints: No jargon without explanation. Use a concrete numeric example. Max 300 words. Format: Step-by-step walkthrough using a simple 2-layer network with actual numbers.",structured text,medium,"Replace the topic with any concept you need to study. Update all three context layers to match your situation."
P103,M1_Foundations,coding,"Constraint Stacking Masterclass","Goal: Write a Python function that validates an email address. Constraints (stack all of these): 1. Do not use any external libraries or regex. 2. Must handle edge cases: empty string, missing @, multiple @ signs, no domain. 3. Return a tuple of (bool, str) where bool is validity and str is the reason. 4. Function must have type hints. 5. Include exactly 3 test cases as assert statements. Format: Code block with the function followed by test cases.",code,medium,"Change email validation to phone number or URL validation. Add or remove constraints."
P104,M1_Foundations,study,"Format Specification Mastery","Goal: Compare TCP and UDP protocols for my networking exam. Context: I am a second-year student studying Computer Networks. I understand what protocols are but get confused by the differences. Constraints: Only cover the 6 most important differences. Use simple language. Format: A comparison table with columns: Feature, TCP, UDP, When to Use. After the table, give me a one-line memory trick for each row.",table + tips,medium,"Replace TCP/UDP with any two concepts you need to compare. Adjust the number of differences."
P105,M1_Foundations,coding,"Advanced Persona Design","You are a senior staff engineer at Google with 15 years of experience in distributed systems. You are known for giving clear, practical advice and always ask ""have you considered the trade-offs?"" before recommending a solution. A junior developer asks you: ""Should I use a message queue or direct API calls for communication between my microservices?"" Respond in character. Cover: when to use each, trade-offs, and your final recommendation with reasoning. Keep your answer under 250 words.",structured text,medium,"Change the persona to match your target role. Swap the technical question to your domain."
